,I usually know all the new and emerging music artists,A music artist's social channels are the most important place for me to check in on,I don’t really think about whether or not news organizations have accurate or unbiased information,I use social media for flirting and dating,My friends are more important to me than my family,"I am eager to see my favorite artists’ video updates on social media (e.g. Vlog, Instagram Story, Snapchat etc.)",I like to discover new artists before my friends,President Obama is the worst President in US history,It isn't fair to bring up young children in a big city,It is perfectly normal if a man wears women's clothes or vice versa,Success in America is more a result of hard work rather than good fortune (having connections and good background),The government is hiding what really happened on 9/11,I think it’s fine if college athletes lose their scholarships when they get hurt and can’t play anymore,People worry too much about the environment,Politics (General Interests),The world would be a better place without smartphones,It is more ethical to be vegetarian,National news,My faith is important to me,"I have been known to ""stalk"" someone on social media","Whilst watching TV, I search the internet for products I see advertised",Family over everything,I would pay for access to magazine content online,I like to go on vacation where activities are organized for me,Anyone who watches Fox News for news is dumb,I don't care what my carbon footprint is,"Across history, religion has done more bad than good",I have never left the country,Transgender people are just confused,I prefer watching TV on my laptop or tablet,cluster
vice,0.03837272771714531,0.049987989375121694,0.008938110202090371,0.058921203288179985,0.07529734246230291,0.015515978173585826,0.022108777290190257,-0.04955009688766163,-0.005546290576772056,0.07999143150123814,-0.001714653504973157,-0.005301257016373767,-0.024407864172830918,0.008426039769147659,0.03145036097113091,-0.00900689570606844,0.06027242293983845,0.021035325410782763,-0.02520743686351412,0.06774980579581819,0.020478208188751013,-0.02931871314754897,0.064270347112246,0.009029081915671922,0.047568678501924755,-0.019596845268680135,0.03070557819933864,-0.02850488908623125,-0.022969024368008573,0.02936090254446483,5
wild nights with emily,0.07754090707164185,0.08019794801426655,0.08621676703305134,0.1241236288800015,0.09120900967366033,0.015613716972676384,0.06691713367121302,0.06825761183467594,0.06683268099845913,0.0469066572664647,0.029703518888871766,0.03957814199103768,0.09063618848037253,0.07361736690616177,-0.0502657473715499,0.05547052847426068,0.07013663261411165,-0.08404123503764266,0.019343032173947033,0.11488096687387508,0.01792337921551318,-0.025584702243978796,0.11408554021640976,0.04058839450660978,0.0238722048277418,0.08937581338082157,0.0323770211351474,0.06435742341868131,0.061446389139475394,0.08073793280438471,2
downton abbey,-0.1811084498584561,-0.10592068347744327,-0.09109638743944928,-0.10324109729657169,-0.00317039574326361,-0.063602664539161,-0.21046396143315413,-0.16334710256328294,-0.0894285401194532,-0.0332062753174831,-0.030200359873312876,-0.09476895247091666,-0.15567516268775505,0.0944119835482165,0.03805641701773546,-0.15268380171749563,-0.04040379508880715,0.15927314913666518,-0.14985710992838416,0.03967052142165611,-0.15064097539430318,-0.07246504893911945,-0.04340574536228933,-0.06645217965671063,-0.014634816845412735,-0.1390584571750577,-0.1291534224828723,-0.2459138039599951,-0.2321677305665119,0.0010796027385915896,17
green book,-0.013187712738032736,-0.0350266727464387,-0.04122113820621234,-0.00207695548724951,-0.0011310137233518647,0.007914524616261798,-0.00766461516988165,-0.08734759868356906,-0.020834698504631544,0.05541545087798044,-0.05975085944321057,-0.06944194880842167,-0.10849548317539781,-0.05833755281367045,0.07316105565057446,-0.019994085938927986,0.020143484605397804,0.03233595918062421,-0.03157449040943361,-0.0089095179249421,-0.01733609229475791,0.02349635545810036,0.005088633841058343,-0.02729328836601108,0.04306277800941058,-0.03623792012043983,0.03884914568480305,-0.06654477963233127,-0.043670603425959964,-0.05006926469001444,17
on the basis of sex,0.014744571707417484,0.06955945615928472,0.006479510990807416,0.0832603359522106,0.11416035578952927,0.010550839721008703,0.03715592647659641,-0.008325663025420649,-0.010113418816301983,0.09812108676944067,-0.023564902185442632,-0.00849574781955073,0.06458155298804075,0.006554362835182959,0.01667040106740053,0.044047418432909546,0.094408183897631,0.0005464679277502327,-0.06778048843054219,0.12766103876278329,0.0054254610030420175,-0.05839172489632913,0.06863470479175848,0.0038643764366263766,0.06469950917226189,0.01766758710767352,0.08004262461134076,0.009001729056910268,-0.005078210195703481,0.03650785012445143,5
patterns of evidence: the moses controversy,0.038935666761544974,0.09568955590789652,0.06728559508540982,0.10672261649985976,0.0916909338882918,0.0027873992068627174,0.02170981629440749,0.04206932305544028,0.07125364341370849,0.04362788514151231,0.020296411177096074,0.05142872628935369,0.03298099610201255,0.04892115116692186,-0.016357588973188508,0.05379831114942485,0.0641781005875886,-0.0504306371956913,-0.022211867035815985,0.06505275449865339,0.005840128723884702,-0.02807781508972737,0.033229820506137375,0.002548763089966405,0.0370964341057666,0.06597568777806562,0.022031810922553435,0.0300208751780415,0.04504894648598584,0.07439719398443415,3
rocketman,0.16391329872463262,0.1518939999391712,0.18121771342660475,0.15207707726791345,0.022258505971167186,0.08913938178548073,0.09620737758075035,0.0037997795580236304,0.0537836495410621,0.16663847328765855,0.05189419099300918,-0.07905952410960365,0.04820518191659123,0.00045822601785694417,-0.00310425589174948,0.13817022306827642,0.08164787237399518,-0.08500032648967928,-0.04596754279203755,0.08345735318915931,0.02525745369505558,0.0018963655988462336,0.07865020608950044,0.1460578056859939,0.031131564089863062,0.01774317327240535,0.00491660071067293,0.03774075139576097,-0.10231405738447025,0.0971419962585815,5
rolling thunder revue,0.0032890540842169663,0.04312204820369027,0.049043209424857695,0.025551379758189607,0.0005774667575476622,0.06624259348045886,0.027728989153651518,0.11042388310397266,0.021725454256485005,-0.006139195543946999,-0.05541984075412941,-0.05106077012033161,0.06658597322360779,0.09457208953639445,0.042513737655462236,0.07225255018860993,0.07962852267574891,0.009260602329706297,-0.05540905966633533,0.06646379836844671,0.0033435051893742906,-0.07041344498976645,0.1402598441303253,0.06385317738152027,0.036673664376924514,0.04561822052753864,-0.01709652994906688,0.07568747525332511,0.04928662128111397,0.11726164125851873,5
the best of enemies,0.04535481670484953,0.05209691555773763,0.03076395194568554,0.017895752978486293,-0.029758575377612895,0.09628644572185477,0.040881918658670205,0.007886084636947288,0.0001002145168902957,0.018254204768457252,0.016456784112537273,0.02133060823581355,-0.012488544895429055,0.042172049282455895,-0.00952343887514559,0.043080688244358595,0.04318518431642811,-0.027231396243581257,0.0539934484522297,0.02712959592375766,0.022034794533517477,0.0061070026074935835,0.06632726673013324,0.04089336460503695,0.021671736403985925,-0.009244125782745943,0.0029792172559948427,0.06534317098908704,0.003704661117519631,0.03299764629865,1
tolkien,-0.02476517915300694,0.03036277183856448,-0.028016895150220822,0.026725237513665318,0.020845292986223507,0.007646719143837577,0.007384426561152457,0.009424610541095418,-0.004277217757611584,0.022999826746540414,-0.03871733559868984,0.005797983869927581,0.02856868830927839,0.015117625366020349,0.018594951297543627,0.015767423790417873,0.035261599344169,0.021666250433551915,-0.01269655221667515,0.0203812951463202,-0.01864467509250231,-0.04394790135128235,0.06547355243701602,-0.02934821581310834,0.016616436513288202,-0.022080181081167938,0.06072573579785362,-0.02077398834468397,-0.03744705884409469,0.018774982666541457,11
